EMPTY\,name,fh_shortname,account_tier,lead_id,location_city,location_country,location_region,fh_site
EMPTY\,scottishquads.co.uk,scottishquads,4,lead_JJOCcz76l93xZ9PHG6UkW6pKzgAy1oclhR0XaCOR8BS,Pitlochry,United Kingdom,EMEA,Yes
EMPTY\,londonwaterbus.com,londonwaterbus,4,lead_ERnhjFAJOBWpcM9cYRE7qQE96aKem3YEXNWT0oP1C3v,London,United Kingdom,EMEA,Yes
EMPTY\,laganadventures.com,laganadventures,2,lead_FZyNFxWh7jnYoCH5hCS9lciiNWHChIueVY04S8OQe3z,Belfast,United Kingdom,EMEA,Yes
EMPTY\,walksineurope.com,walksineurope,4,lead_DxaIepLXUzpY2aIOrr1IjPq27MGJYQYhVHIvmuCN8Q9,Tallinn,Estonia,EMEA,Yes
EMPTY\,kinboat.com,kinboat,3,lead_IHQqe52ljJUFN2SA33MnNhDFo6TKRHBIsldQpSHGknS,Amsterdam,Netherlands,EMEA,Yes
EMPTY\,ernetours.com,ernetours,2,lead_P1EVMGeUYIgIUQYMGB4Esr4kozZfuCEIXk6hjRxhycc,Enniskillen,United Kingdom,EMEA,Yes
EMPTY\,tourcostadeglidei.com,tourcostadeglidei,2,lead_iKeQwtYWiyljhYVOKEbNNdvZUYyaC0j3V6wuRjANK7g,Tropea,Italy,EMEA,Yes
EMPTY\,sussexbikehire.com,sussexbikehire,2,lead_h8ejmVhmmIHV4VZMgT02BSWHpabCeimbVULqJA3Qjy6,Seaford,United Kingdom,EMEA,Yes
EMPTY\,corkharbourboathire.com,corkharbour,2,lead_v7EOHhuoRaKcJzN5RIt0mji6gIlwWFkdydozTEDD9xQ,Cork,Ireland,EMEA,Yes
EMPTY\,lagoskayakexplores.com,lagoskayakexplores,2,lead_vk6XHLBYln3R3qGtO7VyqB8E2lT9bHcxHsbIx7BWmUt,Lagos,Portugal,EMEA,Yes
EMPTY\,dolphinspirit.co.uk,dolphinspiritinverness,3,lead_5yo7AI8WN1cjQRfKbMDU992if1jEzWDBch40CaOZnEC,Inverness,United Kingdom,EMEA,Yes
EMPTY\,sea-ibiza.com,sailingibiza,2,lead_w3Tad5rcZcyo0qa7zm4ZOjy0s6yvs7cZ4T15eKQDRon,Ibiza,Spain,EMEA,Yes
EMPTY\,marencalmamenorca.com,marencalmamenorca,2,lead_nYcUrTsJSqzYWyNWig4J2x8cCoPnzddUVNwiiu3fa6D,Ciutadella de Menorca,Spain,EMEA,Yes
